,Family,Species,Study
408,Amphiliidae,Phractura macrura,"Poll, 1967"
409,Amphiliidae,Phractura macrura,"Poll, 1967"
410,Amphiliidae,Phractura scaphyrhynchura,"(Vaillant, 1886)"
411,Amphiliidae,Phractura scaphyrhynchura,"(Vaillant, 1886)"
412,Amphiliidae,Phractura stiassny,"Skelton, 2007"
413,Amphiliidae,Phractura tenuicauda,"(Boulenger, 1902)"
414,Amphiliidae,Phractura tenuicauda,"(Boulenger, 1902)"
415,Amphiliidae,Psammphiletria delicata,"Roberts, 2003"
416,Amphiliidae,Psammphiletria nasuta,"Roberts, 2003"
417,Amphiliidae,Tetracamphilius angustifrons,"(Boulenger, 1902)"
418,Amphiliidae,Tetracamphilius clandestinus,"Roberts, 2003"
419,Amphiliidae,Tetracamphilius notatus,"(Nichols & Griscom, 1917)"
420,Amphiliidae,Tetracamphilius notatus,"(Nichols & Griscom, 1917)"
421,Amphiliidae,Tetracamphilius pectinatus,"Roberts, 2003"
422,Amphiliidae,Tetracamphilius pectinatus,"Roberts, 2003"
423,Amphiliidae,Trachyglanis ineac,"(Poll, 1954)"
424,Amphiliidae,Trachyglanis ineac,"(Poll, 1954)"
425,Amphiliidae,Trachyglanis intermedius,"Pellegrin, 1928"
426,Amphiliidae,Trachyglanis minutus,"Boulenger, 1902"
427,Amphiliidae,Trachyglanis sanghensis,"Pellegrin, 1925"
428,Amphiliidae,Zaireichthys brevis,"(Boulenger, 1915)"
429,Amphiliidae,Zaireichthys camerunensis,"(Daget & Stauch, 1963)"
430,Amphiliidae,Zaireichthys camerunensis,"(Daget & Stauch, 1963)"
431,Amphiliidae,Zaireichthys compactus,"Seegers, 2008"
432,Amphiliidae,Zaireichthys conspicuus,"Eccles, Tweddle & Skelton, 2011"
433,Amphiliidae,Zaireichthys conspicuus,"Eccles, Tweddle & Skelton, 2011"
434,Amphiliidae,Zaireichthys dorae,"(Poll, 1967)"
435,Amphiliidae,Zaireichthys flavomaculatus,"(Pellegrin, 1926)"
436,Amphiliidae,Zaireichthys heterurus,"Roberts, 2003"
437,Amphiliidae,Zaireichthys kafuensis,"Eccles, Tweddle & Skelton, 2011"
438,Amphiliidae,Zaireichthys kavangoensis,"Eccles, Tweddle & Skelton, 2011"
439,Amphiliidae,Zaireichthys kunenensis,"Eccles, Tweddle & Skelton, 2011"
440,Amphiliidae,Zaireichthys lacustris,"Eccles, Tweddle & Skelton, 2011"
441,Amphiliidae,Zaireichthys mandevillei,"(Poll, 1959)"
442,Amphiliidae,Zaireichthys mandevillei,"(Poll, 1959)"
443,Amphiliidae,Zaireichthys maravensis,"Eccles, Tweddle & Skelton, 2011"
444,Amphiliidae,Zaireichthys monomotapa,"Eccles, Tweddle & Skelton, 2011"
445,Amphiliidae,Zaireichthys pallidus,"Eccles, Tweddle & Skelton, 2011"
446,Amphiliidae,Zaireichthys rotundiceps,"(Hilgendorf, 1905)"
447,Amphiliidae,Zaireichthys wamiensis,"(Seegers, 1989)"
448,Amphiliidae,Zaireichthys zonatus,"Roberts, 1968"
449,Anabantidae,Anabas cobojius,"(Hamilton, 1822)"
450,Anabantidae,Anabas testudineus,"(Bloch, 1792)"
451,Anabantidae,Ctenopoma acutirostre,"Pellegrin, 1899"
452,Anabantidae,Ctenopoma acutirostre,"Pellegrin, 1899"
453,Anabantidae,Ctenopoma ashbysmithi,"Banister & Bailey, 1979"
454,Anabantidae,Ctenopoma gabonense,"Günther, 1896"
455,Anabantidae,Ctenopoma garuanum,"(Ahl, 1927)"
456,Anabantidae,Ctenopoma houyi,"(Ahl, 1927)"
457,Anabantidae,Ctenopoma kingsleyae,"Günther, 1896"
458,Anabantidae,Ctenopoma maculatum,"Thominot, 1886"
459,Anabantidae,Ctenopoma multispine,"Peters, 1844"
460,Anabantidae,Ctenopoma muriei,"(Boulenger, 1906)"
461,Anabantidae,Ctenopoma nebulosum,"Norris & Teugels, 1990"
462,Anabantidae,Ctenopoma nigropannosum,"Reichenow, 1875"
463,Anabantidae,Ctenopoma ocellatum,"Pellegrin, 1899"
464,Anabantidae,Ctenopoma pellegrini,"(Boulenger, 1902)"
465,Anabantidae,Ctenopoma pellegrini,"(Boulenger, 1902)"
466,Anabantidae,Ctenopoma petherici,"Günther, 1864"
467,Anabantidae,Ctenopoma petherici,"Günther, 1864"
468,Anabantidae,Ctenopoma riggenbachi,"(Ahl, 1927)"
469,Anabantidae,Ctenopoma weeksii,"Boulenger, 1896"
470,Anabantidae,Ctenopoma weeksii,"Boulenger, 1896"
471,Anabantidae,Microctenopoma ansorgii,"(Boulenger, 1912)"
472,Anabantidae,Microctenopoma congicum,"(Boulenger, 1887)"
473,Anabantidae,Microctenopoma fasciolatum,"(Boulenger, 1899)"
474,Anabantidae,Microctenopoma fasciolatum,"(Boulenger, 1899)"
475,Anabantidae,Microctenopoma intermedium,"(Pellegrin, 1920)"
476,Anabantidae,Microctenopoma lineatum,"(Nichols, 1923)"
477,Anabantidae,Microctenopoma milleri,"(Norris & Douglas, 1991)"
478,Anabantidae,Microctenopoma nanum,"(Günther, 1896)"
479,Anabantidae,Microctenopoma nigricans,"Norris, 1995"
480,Anabantidae,Microctenopoma nigricans,"Norris, 1995"
481,Anabantidae,Microctenopoma ocellifer,"(Nichols, 1928)"
482,Anabantidae,Microctenopoma ocellifer,"(Nichols, 1928)"
483,Anabantidae,Microctenopoma uelense,"Norris & Douglas, 1995"
484,Anabantidae,Sandelia bainsii,"Castelnau, 1861"
485,Anablepidae,Jenynsia diphyes,"Lucinda, Ghedotti & da Graça, 2006"
486,Anablepidae,Jenynsia eigenmanni,"(Haseman, 1911)"
487,Anablepidae,Jenynsia eirmostigma,"Ghedotti & Weitzman, 1995"
488,Anablepidae,Jenynsia multidentata,"(Jenyns, 1842)"
489,Anablepidae,Jenynsia onca,"Lucinda, Reis & Quevedo, 2002"
490,Anchariidae,Ancharius fuscus,"Steindachner, 1880"
491,Anchariidae,Ancharius griseus,"Ng & Sparks, 2005"
492,Anchariidae,Gogo arcuatus,"Ng & Sparks, 2005"
493,Anchariidae,Gogo atratus,"Ng, Sparks & Loiselle, 2008"
494,Anchariidae,Gogo brevibarbis,"(Boulenger, 1911)"
495,Anchariidae,Gogo ornatus,"Ng & Sparks, 2005"
496,Anguillidae,Anguilla anguilla,"(Linnaeus, 1758)"
497,Anguillidae,Anguilla australis,"Richardson, 1841"
498,Anguillidae,Anguilla bengalensis,"(Gray, 1831)"
499,Anguillidae,Anguilla bicolor,"McClelland, 1844"
500,Anguillidae,Anguilla celebesensis,"Kaup, 1856"
501,Anguillidae,Anguilla japonica,"Temminck & Schlegel, 1846"
502,Anguillidae,Anguilla labiata,"(Peters, 1852)"
503,Anguillidae,Anguilla marmorata,"Quoy & Gaimard, 1824"
504,Anguillidae,Anguilla megastoma,"Kaup, 1856"
505,Anguillidae,Anguilla mossambica,"(Peters, 1852)"
506,Anguillidae,Anguilla nebulosa,"McClelland, 1844"
507,Anguillidae,Anguilla obscura,"Günther, 1872"
508,Anguillidae,Anguilla rostrata,"(Lesueur, 1817)"
509,Anostomidae,Abramites eques,"(Steindachner, 1878)"
510,Anostomidae,Abramites hypselonotus,"(Günther, 1868)"
511,Anostomidae,Anostomoides atrianalis,"Pellegrin, 1909"
512,Anostomidae,Anostomus anostomus,"(Linnaeus, 1758)"
513,Anostomidae,Anostomus longus,"Géry, 1961"
514,Anostomidae,Anostomus ternetzi,"Fernández-Yépez, 1949"
515,Anostomidae,Gnathodolus bidens,"Myers, 1927"
516,Anostomidae,Hypomasticus lineomaculatus,"Birindelli, Peixoto, Wosiacki & Britski, 2013"
517,Anostomidae,Laemolyta fasciata,"Pearson, 1924"
518,Anostomidae,Laemolyta fernandezi,"Myers, 1950"
519,Anostomidae,Laemolyta garmani,"(Borodin, 1931)"
520,Anostomidae,Laemolyta macra,"Géry, 1974"
521,Anostomidae,Laemolyta orinocensis,"(Steindachner, 1879)"
522,Anostomidae,Laemolyta taeniata,"(Kner, 1858)"
523,Anostomidae,Leporellus cartledgei,"Fowler, 1941"
524,Anostomidae,Leporellus pictus,"(Kner, 1858)"
525,Anostomidae,Leporellus retropinnis,"(Eigenmann, 1922)"
526,Anostomidae,Leporellus vittatus,"(Valenciennes, 1850)"
527,Anostomidae,Leporinus acutidens,"(Valenciennes, 1837)"
528,Anostomidae,Leporinus affinis,"Günther, 1864"
529,Anostomidae,Leporinus agassizii,"Steindachner, 1876"
530,Anostomidae,Leporinus alternus,"Eigenmann, 1912"
531,Anostomidae,Leporinus amae,"Godoy, 1980"
532,Anostomidae,Leporinus amblyrhynchus,"Garavello & Britski, 1987"
533,Anostomidae,Leporinus arimaspi,"Burns, Frable & Sidlauskas, 2014"
534,Anostomidae,Leporinus bimaculatus,"Castelnau, 1855"
535,Anostomidae,Leporinus bistriatus,"Britski, 1997"
536,Anostomidae,Leporinus brunneus,"Myers, 1950"
537,Anostomidae,Leporinus cylindriformis,"Borodin, 1929"
538,Anostomidae,Leporinus fasciatus,"(Bloch, 1794)"
539,Anostomidae,Leporinus friderici,"(Bloch, 1794)"
540,Anostomidae,Leporinus geminis,"Garavello & Santos, 2009"
541,Anostomidae,Leporinus holostictus,"Cope, 1878"
542,Anostomidae,Leporinus jamesi,"Garman, 1929"
543,Anostomidae,Leporinus klausewitzi,"Géry, 1960"
544,Anostomidae,Leporinus lacustris,"Amaral Campos, 1945"
545,Anostomidae,Leporinus maculatus,"Müller & Troschel, 1844"
546,Anostomidae,Leporinus marcgravii,"Lütken, 1875"
547,Anostomidae,Leporinus microphthalmus,"Garavello, 1989"
548,Anostomidae,Leporinus moralesi,"Fowler, 1942"
549,Anostomidae,Leporinus multifasciatus,"Cope, 1878"
550,Anostomidae,Leporinus multimaculatus,"Birindelli, Teixeira & Britski, 2016"
551,Anostomidae,Leporinus nattereri,"Steindachner, 1876"
552,Anostomidae,Leporinus nigrotaeniatus,"(Jardine, 1841)"
553,Anostomidae,Leporinus octofasciatus,"Steindachner, 1915"
554,Anostomidae,Leporinus ortomaculatus,"Garavello, 2000"
555,Anostomidae,Leporinus pachyurus,"Valenciennes, 1850"
556,Anostomidae,Leporinus parae,"Eigenmann, 1907"
557,Anostomidae,Leporinus paralternus,"Fowler, 1914"
558,Anostomidae,Leporinus paranensis,"Garavello & Britski, 1987"
559,Anostomidae,Leporinus pellegrinii,"Steindachner, 1910"
560,Anostomidae,Leporinus punctatus,"Garavello, 2000"
561,Anostomidae,Leporinus santosi,"Britski & Birindelli, 2013"
562,Anostomidae,Leporinus striatus,"Kner, 1858"
563,Anostomidae,Leporinus taeniatus,"Lütken, 1875"
564,Anostomidae,Leporinus taeniofasciatus,"Britski, 1997"
565,Anostomidae,Leporinus tigrinus,"Borodin, 1929"
566,Anostomidae,Leporinus unitaeniatus,"Garavello & Santos, 2009"
567,Anostomidae,Leporinus vanzoi,"Britski & Garavello, 2005"
568,Anostomidae,Leporinus venerei,"Britski & Birindelli, 2008"
569,Anostomidae,Leporinus wolfei,"Fowler, 1940"
570,Anostomidae,Leporinus y-ophorus,"Eigenmann, 1922"
571,Anostomidae,Megaleporinus elongatus,"(Valenciennes, 1850)"
572,Anostomidae,Megaleporinus macrocephalus,"(Garavello & Britski, 1988)"
573,Anostomidae,Megaleporinus muyscorum,"(Steindachner, 1900)"
574,Anostomidae,Megaleporinus obtusidens,"(Valenciennes, 1837)"
575,Anostomidae,Megaleporinus piavussu,"(Britski, Birindelli & Garavello, 2012)"
576,Anostomidae,Megaleporinus reinhardti,"(Lütken, 1875)"
577,Anostomidae,Megaleporinus trifasciatus,"(Steindachner, 1876)"
578,Anostomidae,Petulanos intermedius,"(Winterbottom, 1980)"
579,Anostomidae,Pseudanos gracilis,"(Kner, 1858)"
580,Anostomidae,Pseudanos irinae,"Winterbottom, 1980"
581,Anostomidae,Pseudanos trimaculatus,"(Kner, 1858)"
582,Anostomidae,Pseudanos varii,"Birindelli, Lima & Britski, 2012"
583,Anostomidae,Pseudanos winterbottomi,"Sidlauskas & Santos, 2005"
584,Anostomidae,Rhytiodus argenteofuscus,"Kner, 1858"
585,Anostomidae,Rhytiodus elongatus,"(Steindachner, 1908)"
586,Anostomidae,Rhytiodus microlepis,"Kner, 1858"
587,Anostomidae,Sartor tucuruiense,"Santos & Jégu, 1987"
588,Anostomidae,Schizodon altoparanae,"Garavello & Britski, 1990"
589,Anostomidae,Schizodon australis,"Garavello, 1994"
590,Anostomidae,Schizodon borellii,"(Boulenger, 1900)"
591,Anostomidae,Schizodon fasciatus,"Spix & Agassiz, 1829"
592,Anostomidae,Schizodon intermedius,"Garavello & Britski, 1990"
593,Anostomidae,Schizodon isognathus,"Kner, 1858"
594,Anostomidae,Schizodon knerii,"(Steindachner, 1875)"
595,Anostomidae,Schizodon nasutus,"Kner, 1858"
596,Anostomidae,Schizodon platae,"(Garman, 1890)"
597,Anostomidae,Schizodon scotorhabdotus,"Sidlauskas, Garavello & Jellen, 2007"
598,Anostomidae,Schizodon succinctus,"Burmeister, 1861"
599,Anostomidae,Schizodon vittatus,"(Valenciennes, 1850)"
600,Anostomidae,Synaptolaemus cingulatus,"Myers & Fernández-Yépez, 1950"
601,Anostomidae,Synaptolaemus latofasciatus,"(Steindachner, 1910)"
602,Antennariidae,Antennarius striatus,"(Shaw, 1794)"
603,Antennariidae,Histrio histrio,"(Linnaeus, 1758)"
604,Aphredoderidae,Aphredoderus sayanus,"(Gilliams, 1824)"
605,Aploactinidae,Acanthosphex leurynnis,"(Jordan & Seale, 1905)"
606,Aplocheilidae,Aplocheilus lineatus,"(Valenciennes, 1846)"
607,Aplocheilidae,Aplocheilus panchax,"(Hamilton, 1822)"
608,Apogonidae,Apogonichthyoides pseudotaeniatus,"(Gon, 1986)"
609,Apogonidae,Fibramia thermalis,"(Cuvier, 1829)"
610,Apogonidae,Fowleria variegata,"(Valenciennes, 1832)"
611,Apogonidae,Glossamia aprion,"(Richardson, 1842)"
612,Apogonidae,Glossamia narindica,"Roberts, 1978"
613,Apogonidae,Jaydia ellioti,"(Day, 1875)"
614,Apogonidae,Jaydia lineata,"(Temminck & Schlegel, 1842)"
615,Apogonidae,Ostorhinchus doederleini,"(Jordan & Snyder, 1901)"
616,Apogonidae,Ostorhinchus kiensis,"(Jordan & Snyder, 1901)"
617,Apogonidae,Pristiapogon fraenatus,"(Valenciennes, 1832)"
618,Apogonidae,Pristicon trimaculatus,"(Cuvier, 1828)"
619,Apogonidae,Rhabdamia gracilis,"(Bleeker, 1856)"
620,Apogonidae,Yarica hyalosoma,"(Bleeker, 1852)"
621,Apteronotidae,Adontosternarchus balaenops,"(Cope, 1878)"
622,Apteronotidae,Adontosternarchus clarkae,"Mago-Leccia, Lundberg & Baskin, 1985"
623,Apteronotidae,Adontosternarchus devenanzii,"Mago-Leccia, Lundberg & Baskin, 1985"
624,Apteronotidae,Adontosternarchus duartei,"de Santana & Vari, 2012"
625,Apteronotidae,Adontosternarchus nebulosus,"Lundberg & Cox Fernandes, 2007"
626,Apteronotidae,Adontosternarchus sachsi,"(Peters, 1877)"
627,Apteronotidae,Apteronotus acidops,"Triques, 2011"
628,Apteronotidae,Apteronotus albifrons,"(Linnaeus, 1766)"
629,Apteronotidae,Apteronotus bonapartii,"(Castelnau, 1855)"
630,Apteronotidae,Apteronotus brasiliensis,"(Reinhardt, 1852)"
631,Apteronotidae,Apteronotus caudimaculosus,"de Santana, 2003"
632,Apteronotidae,Apteronotus ellisi,"(Alonso de Arámburu, 1957)"
633,Apteronotidae,Apteronotus leptorhynchus,"(Ellis, 1912)"
634,Apteronotidae,Apteronotus lindalvae,"de Santana & Cox Fernandes, 2012"
635,Apteronotidae,Apteronotus macrolepis,"(Steindachner, 1881)"
636,Apteronotidae,Apteronotus magdalenensis,"(Miles, 1945)"
637,Apteronotidae,Apteronotus magoi,"de Santana, Castillo & Taphorn, 2006"
638,Apteronotidae,Apteronotus mariae,"(Eigenmann & Fisher, 1914)"
639,Apteronotidae,Apteronotus rostratus,"(Meek & Hildebrand, 1913)"
640,Apteronotidae,Compsaraia compsus,"(Mago-Leccia, 1994)"
641,Apteronotidae,Compsaraia iara,"Bernt & Albert, 2017"
642,Apteronotidae,Magosternarchus duccis,"Lundberg, Cox Fernandes & Albert, 1996"
643,Apteronotidae,Magosternarchus raptor,"Lundberg, Cox Fernandes & Albert, 1996"
644,Apteronotidae,Orthosternarchus tamandua,"(Boulenger, 1898)"
645,Apteronotidae,Parapteronotus hasemani,"(Ellis, 1913)"
646,Apteronotidae,Pariosternarchus amazonensis,"Albert & Crampton, 2006"
647,Apteronotidae,Platyurosternarchus crypticus,"de Santana & Vari, 2009"
648,Apteronotidae,Platyurosternarchus macrostomus,"(Günther, 1870)"
649,Apteronotidae,Porotergus gimbeli,"Ellis, 1912"
650,Apteronotidae,Sternarchella calhamazon,"Lundberg, Coz Fernandes, Campos da Paz & Sullivan, 2013"
651,Apteronotidae,Sternarchella curvioperculata,"Godoy, 1968"
652,Apteronotidae,Sternarchella orthos,"Mago-Leccia, 1994"
653,Apteronotidae,Sternarchella schotti,"(Steindachner, 1868)"
654,Apteronotidae,Sternarchella sima,"Starks, 1913"
655,Apteronotidae,Sternarchella terminalis,"(Eigenmann & Allen, 1942)"
656,Apteronotidae,Sternarchogiton labiatus,"de Santana & Crampton, 2007"
657,Apteronotidae,Sternarchogiton nattereri,"(Steindachner, 1868)"
658,Apteronotidae,Sternarchogiton porcinum,"Eigenmann & Allen, 1942"
659,Apteronotidae,Sternarchogiton preto,"de Santana & Crampton, 2007"
660,Apteronotidae,Sternarchorhamphus muelleri,"(Steindachner, 1881)"
661,Apteronotidae,Sternarchorhynchus britskii,"Campos-da-Paz, 2000"
662,Apteronotidae,Sternarchorhynchus caboclo,"de Santana & Nogueira, 2006"
663,Apteronotidae,Sternarchorhynchus curumim,"de Santana & Crampton, 2006"
664,Apteronotidae,Sternarchorhynchus curvirostris,"(Boulenger, 1887)"
665,Apteronotidae,Sternarchorhynchus higuchii,"de Santana & Vari, 2010"
666,Apteronotidae,Sternarchorhynchus jaimei,"de Santana & Vari, 2010"
667,Apteronotidae,Sternarchorhynchus mesensis,"Campos-da-Paz, 2000"
668,Apteronotidae,Sternarchorhynchus montanus,"de Santana & Vari, 2010"
669,Apteronotidae,Sternarchorhynchus mormyrus,"(Steindachner, 1868)"
670,Apteronotidae,Sternarchorhynchus oxyrhynchus,"(Müller & Troschel, 1849)"
671,Apteronotidae,Sternarchorhynchus retzeri,"de Santana & Vari, 2010"
672,Apteronotidae,Sternarchorhynchus roseni,"Mago-Leccia, 1994"
673,Apteronotidae,Sternarchorhynchus severii,"de Santana & Nogueira, 2006"
674,Apteronotidae,Sternarchorhynchus stewarti,"de Santana & Vari, 2010"
675,Apteronotidae,Tembeassu marauna,"Triques, 1998"
676,Arapaimidae,Arapaima gigas,"(Schinz, 1822)"
677,Arapaimidae,Heterotis niloticus,"(Cuvier, 1829)"
678,Ariidae,Amphiarius rugispinis,"(Valenciennes, 1840)"
679,Ariidae,Arius acutirostris,"Day, 1877"
680,Ariidae,Arius africanus,"Günther, 1867"
681,Ariidae,Arius dispar,"Herre, 1926"
682,Ariidae,Arius gigas,"Boulenger, 1911"
683,Ariidae,Arius latiscutatus,"Günther, 1864"
684,Ariidae,Arius maculatus,"(Thunberg, 1792)"
685,Ariidae,Arius manillensis,"Valenciennes, 1840"
686,Ariidae,Aspistor quadriscutis,"(Valenciennes, 1840)"
687,Ariidae,Bagre bagre,"(Linnaeus, 1766)"
688,Ariidae,Carlarius heudelotii,"(Valenciennes, 1840)"
689,Ariidae,Carlarius parkii,"(Günther, 1864)"
690,Ariidae,Cathorops mapale,"Betancur-R. & Acero P., 2005"
691,Ariidae,Cathorops spixii,"(Agassiz, 1829)"
692,Ariidae,Cephalocassis borneensis,"(Bleeker, 1851)"
693,Ariidae,Cephalocassis jatia,"(Hamilton, 1822)"
694,Ariidae,Cochlefelis burmanicus,"(Day, 1870)"
695,Ariidae,Cryptarius daugueti,"(Chevey, 1932)"
696,Ariidae,Cryptarius truncatus,"(Valenciennes, 1840)"
697,Ariidae,Galeichthys feliceps,"Valenciennes, 1840"
698,Ariidae,Hemiarius stormii,"(Bleeker, 1858)"
699,Ariidae,Hemiarius verrucosus,"(Ng, 2003)"
700,Ariidae,Ketengus typus,"Bleeker, 1846"
701,Ariidae,Nemapteryx caelata,"(Valenciennes, 1840)"
702,Ariidae,Neoarius graeffei,"(Kner & Steindachner, 1867)"
703,Ariidae,Neoarius leptaspis,"(Bleeker, 1862)"
704,Ariidae,Netuma thalassina,"(Rüppell, 1837)"
705,Ariidae,Notarius bonillai,"(Miles, 1945)"
706,Ariidae,Osteogeneiosus militaris,"(Linnaeus, 1758)"
707,Ariidae,Plicofollis dussumieri,"(Valenciennes, 1840)"
708,Ariidae,Potamarius nelsoni,"(Evermann & Goldsborough, 1902)"
709,Ariidae,Potamarius usumacintae,"Betancur-R. & Willink, 2007"
710,Ariidae,Sciades couma,"(Valenciennes, 1840)"
711,Artedidraconidae,Pogonophryne skorai,"Balushkin & Spodareva, 2013"
712,Aspredinidae,Acanthobunocephalus nicoi,"Friel, 1995"
713,Aspredinidae,Amaralia hypsiura,"(Kner, 1855)"
714,Aspredinidae,Amaralia oviraptor,"Friel & Carvalho, 2016"
715,Aspredinidae,Aspredo aspredo,"(Linnaeus, 1758)"
716,Aspredinidae,Bunocephalus aleuropsis,"Cope, 1870"
717,Aspredinidae,Bunocephalus colombianus,"Eigenmann, 1912"
718,Aspredinidae,Bunocephalus coracoideus,"(Cope, 1874)"
719,Aspredinidae,Bunocephalus doriae,"Boulenger, 1902"
720,Aspredinidae,Bunocephalus hartti,"Carvalho, Cardoso, Friel & Reis, 2015"
721,Aspredinidae,Bunocephalus knerii,"Steindachner, 1882"
722,Aspredinidae,Bunocephalus larai,"Ihering, 1930"
723,Aspredinidae,Bunocephalus minerim,"Carvalho, Cardoso, Friel & Reis, 2015"
724,Aspredinidae,Bunocephalus verrucosus,"(Walbaum, 1792)"
725,Aspredinidae,Dupouyichthys sapito,"Schultz, 1944"
726,Aspredinidae,Ernstichthys anduzei,"Fernández-Yépez, 1953"
727,Aspredinidae,Ernstichthys megistus,"(Orcés V., 1961)"
728,Aspredinidae,Hoplomyzon sexpapilostoma,"Taphorn & Marrero, 1990"
729,Aspredinidae,Micromyzon akamai,"Friel & Lundberg, 1996"
730,Aspredinidae,Pseudobunocephalus amazonicus,"(Mees, 1989)"
731,Aspredinidae,Pseudobunocephalus bifidus,"(Eigenmann, 1942)"
732,Aspredinidae,Pseudobunocephalus iheringii,"(Boulenger, 1891)"
733,Aspredinidae,Pseudobunocephalus quadriradiatus,"(Mees, 1989)"
734,Aspredinidae,Pseudobunocephalus rugosus,"(Eigenmann & Kennedy, 1903)"
735,Aspredinidae,Pterobunocephalus depressus,"(Haseman, 1911)"
736,Aspredinidae,Pterobunocephalus dolichurus,"(Delsman, 1941)"
737,Aspredinidae,Xyliphius anachoretes,"Figueiredo & Britto, 2010"
738,Aspredinidae,Xyliphius barbatus,"Alonso de Arámburu & Arámburu, 1962"
739,Aspredinidae,Xyliphius lepturus,"Orcés V., 1962"
740,Aspredinidae,Xyliphius magdalenae,"Eigenmann, 1912"
741,Aspredinidae,Xyliphius melanopterus,"Orcés V., 1962"
742,Aspredinidae,Xyliphius sofiae,"Sabaj, Carvalho & Reis, 2017"
743,Astroblepidae,Astroblepus boulengeri,"(Regan, 1904)"
744,Astroblepidae,Astroblepus cacharas,"Ardila Rodríguez, 2011"
745,Astroblepidae,Astroblepus festae,"(Boulenger, 1898)"
746,Astroblepidae,Astroblepus frenatus,"Eigenmann, 1918"
747,Astroblepidae,Astroblepus grixalvii,"Humboldt, 1805"
748,Astroblepidae,Astroblepus homodon,"(Regan, 1904)"
749,Astroblepidae,Astroblepus itae,"Ardila Rodríguez, 2011"
750,Astroblepidae,Astroblepus labialis,"Pearson, 1937"
751,Astroblepidae,Astroblepus longiceps,"Pearson, 1924"
752,Astroblepidae,Astroblepus marmoratus,"(Regan, 1904)"
753,Astroblepidae,Astroblepus micrescens,"Eigenmann, 1918"
754,Astroblepidae,Astroblepus nicefori,"Myers, 1932"
755,Astroblepidae,Astroblepus praeliorum,"Allen, 1942"
756,Astroblepidae,Astroblepus santanderensis,"Eigenmann, 1918"
757,Astroblepidae,Astroblepus supramollis,"Pearson, 1937"
758,Atherinidae,Atherina boyeri,"Risso, 1810"
759,Atherinidae,Atherina breviceps,"Valenciennes, 1835"
760,Atherinidae,Atherina presbyter,"Cuvier, 1829"
761,Atherinidae,Atherinomorus duodecimalis,"(Valenciennes, 1835)"
762,Atherinidae,Atherinomorus endrachtensis,"(Quoy & Gaimard, 1825)"
763,Atherinidae,Atherinomorus lacunosus,"(Forster, 1801)"
764,Atherinidae,Craterocephalus fulvus,"Ivantsoff, Crowley & Allen, 1987"
765,Atherinidae,Craterocephalus lentiginosus,"Ivantsoff, Crowley & Allen, 1987"
766,Atherinidae,Craterocephalus randi,"Nichols & Raven, 1934"
767,Atherinidae,Hypoatherina valenciennei,"(Bleeker, 1854)"
768,Atherinidae,Hypoatherina woodwardi,"(Jordan & Starks, 1901)"
769,Atherinopsidae,Atherinella ammophila,"Chernoff & Miller, 1984"
770,Atherinopsidae,Atherinella balsana,"(Meek, 1902)"
771,Atherinopsidae,Atherinella callida,"Chernoff, 1986"
772,Atherinopsidae,Atherinella lisa,"(Meek, 1904)"
773,Atherinopsidae,Atherinella marvelae,"(Chernoff & Miller, 1982)"
774,Atherinopsidae,Atherinella schultzi,"(Álvarez & Carranza, 1952)"
775,Atherinopsidae,Chirostoma aculeatum,"Barbour, 1973"
776,Atherinopsidae,Chirostoma arge,"(Jordan & Snyder, 1899)"
777,Atherinopsidae,Chirostoma bartoni,"Jordan & Evermann, 1896"
778,Atherinopsidae,Chirostoma charari,"(de Buen, 1945)"
779,Atherinopsidae,Chirostoma contrerasi,"Barbour, 2002"
780,Atherinopsidae,Chirostoma estor,"Jordan, 1880"
781,Atherinopsidae,Chirostoma grandocule,"(Steindachner, 1894)"
